Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,7.5954,0.0103,5.2356,0.0
2,5.0589,0.0667,4.81,0.0
3,4.6401,0.1077,4.0423,0.25
4,3.2448,0.3897,3.7761,0.1875
5,1.3155,0.8,4.6876,0.1875
6,0.3873,0.9333,5.3493,0.1875
7,0.121,0.9744,4.4599,0.375
8,0.2193,0.959,5.2528,0.3125
9,0.0768,0.9846,6.4272,0.25
